Date,Close
"May 18, 2010","1,192.60"
"May 17, 2010","1,214.30"
"May 16, 2010","1,227.70"
"May 13, 2010","1,227.40"
"May 12, 2010","1,228.80"
"May 11, 2010","1,242.70"
"May 10, 2010","1,219.90"
"May 09, 2010","1,200.40"
"May 06, 2010","1,210.00"
"May 05, 2010","1,196.90"
"May 04, 2010","1,174.60"
"May 03, 2010","1,168.60"
"May 02, 2010","1,182.70"
"Apr 29, 2010","1,180.10"
"Apr 28, 2010","1,168.40"
"Apr 27, 2010","1,171.30"
"Apr 26, 2010","1,161.70"
"Apr 25, 2010","1,153.50"
"Apr 22, 2010","1,153.10"
"Apr 21, 2010","1,142.30"
"Apr 20, 2010","1,148.20"
"Apr 19, 2010","1,138.60"
"Apr 18, 2010","1,135.20"
"Apr 15, 2010","1,136.30"
"Apr 14, 2010","1,159.70"
"Apr 13, 2010","1,159.00"
"Apr 12, 2010","1,152.80"
"Apr 11, 2010","1,161.60"
"Apr 08, 2010","1,161.10"
"Apr 07, 2010","1,152.20"
"Apr 06, 2010","1,152.30"
"Apr 05, 2010","1,135.10"
"Apr 04, 2010","1,132.90"
"Mar 31, 2010","1,125.10"
"Mar 30, 2010","1,113.30"
"Mar 29, 2010","1,104.50"
"Mar 28, 2010","1,110.30"
"Mar 25, 2010","1,104.20"
"Mar 24, 2010","1,092.70"
"Mar 23, 2010","1,088.60"
"Mar 22, 2010","1,103.50"
"Mar 21, 2010","1,099.30"
"Mar 18, 2010","1,107.40"
"Mar 17, 2010","1,127.40"
"Mar 16, 2010","1,124.00"
"Mar 15, 2010","1,122.20"
"Mar 14, 2010","1,105.10"
"Mar 12, 2010","1,101.50"
"Mar 11, 2010","1,108.00"
"Mar 10, 2010","1,107.80"
"Mar 09, 2010","1,122.00"
"Mar 08, 2010","1,123.60"
"Mar 05, 2010","1,134.80"
"Mar 04, 2010","1,132.60"
"Mar 03, 2010","1,142.70"
"Mar 02, 2010","1,136.90"
"Mar 01, 2010","1,117.80"
"Feb 26, 2010","1,118.30"
"Feb 25, 2010","1,107.80"
"Feb 24, 2010","1,096.50"
"Feb 23, 2010","1,102.70"
"Feb 22, 2010","1,112.60"
"Feb 19, 2010","1,121.30"
"Feb 18, 2010","1,118.00"
"Feb 17, 2010","1,119.50"
"Feb 16, 2010","1,119.30"
"Feb 12, 2010","1,089.50"
"Feb 11, 2010","1,094.20"
"Feb 10, 2010","1,075.80"
"Feb 09, 2010","1,076.70"
"Feb 08, 2010","1,065.70"
"Feb 05, 2010","1,052.20"
"Feb 04, 2010","1,062.40"
"Feb 03, 2010","1,111.40"
"Feb 02, 2010","1,117.40"
"Feb 01, 2010","1,104.30"
"Jan 29, 2010","1,083.00"
"Jan 28, 2010","1,083.60"
"Jan 27, 2010","1,084.40"
"Jan 26, 2010","1,097.90"
"Jan 25, 2010","1,095.20"
"Jan 22, 2010","1,089.20"
"Jan 21, 2010","1,102.70"
"Jan 20, 2010","1,112.30"
"Jan 19, 2010","1,139.70"
"Jan 15, 2010","1,130.10"
"Jan 14, 2010","1,142.60"
"Jan 13, 2010","1,136.40"
"Jan 12, 2010","1,128.90"
"Jan 11, 2010","1,150.70"
"Jan 08, 2010","1,138.20"
"Jan 07, 2010","1,133.10"
"Jan 06, 2010","1,135.90"
"Jan 05, 2010","1,118.10"
"Jan 04, 2010","1,117.70"
"Dec 31, 2009","1,095.20"
"Dec 30, 2009","1,091.50"
"Dec 29, 2009","1,097.00"
"Dec 28, 2009","1,107.20"
"Dec 24, 2009","1,104.10"
"Dec 23, 2009","1,093.30"
"Dec 22, 2009","1,086.00"
"Dec 21, 2009","1,095.40"
"Dec 18, 2009","1,110.80"
"Dec 17, 2009","1,106.80"
"Dec 16, 2009","1,135.50"
"Dec 15, 2009","1,122.40"
"Dec 14, 2009","1,123.30"
"Dec 11, 2009","1,119.40"
"Dec 10, 2009","1,125.70"
"Dec 09, 2009","1,120.40"
"Dec 08, 2009","1,142.80"
"Dec 07, 2009","1,163.40"
"Dec 04, 2009","1,168.80"
"Dec 03, 2009","1,217.40"
"Dec 02, 2009","1,212.00"
"Dec 01, 2009","1,199.10"
"Nov 30, 2009","1,181.10"
"Nov 27, 2009","1,174.20"
"Nov 25, 2009","1,186.90"
"Nov 24, 2009","1,165.50"
"Nov 23, 2009","1,164.30"
"Nov 20, 2009","1,146.40"
"Nov 19, 2009","1,141.40"
"Nov 18, 2009","1,140.70"
"Nov 17, 2009","1,138.80"
"Nov 16, 2009","1,138.60"
"Nov 13, 2009","1,116.10"
"Nov 12, 2009","1,106.00"
"Nov 11, 2009","1,114.00"
"Nov 10, 2009","1,101.90"
"Nov 09, 2009","1,100.80"
"Nov 06, 2009","1,095.10"
"Nov 05, 2009","1,088.70"
"Nov 04, 2009","1,086.70"
"Nov 03, 2009","1,084.30"
"Nov 02, 2009","1,053.40"
"Oct 29, 2009","1,039.70"
